lineup,minutes,points_scored,2_pointers_made,3_pointers_made,free_throws_made,assists,rebounds,blocks,steals,turnovers,fouls,points_allowed
101107_1626163_201587_202689_203077,232.3,507.0,115,64,85,107,521,26,40,175,81,524.0
101107_1628407_202689_203087_2730,127.5,321.0,77,36,49,61,314,9,15,84,33,274.0
101107_201158_201587_202689_203469,105.92,243.0,55,28,49,48,259,7,17,85,47,222.0
101107_201579_201587_202689_203077,170.47,369.0,97,37,64,83,412,21,22,108,71,344.0
101107_201587_202687_202689_203087,214.18,442.0,109,56,56,93,495,25,31,134,70,476.0
101107_201587_202689_203077_203469,802.92,1747.0,479,163,300,417,1803,77,149,581,224,1651.0
101107_201587_202689_203077_2730,1086.67,2468.0,709,206,432,503,2536,127,160,752,345,2409.0
101107_201587_202689_203087_203469,639.37,1526.0,386,173,230,333,1471,59,96,425,237,1445.0
101107_202689_203077_203087_2730,231.4,509.0,155,33,100,91,573,25,25,159,90,506.0
101108_200755_201599_201601_201933,870.63,2023.0,573,173,358,487,1905,90,169,614,297,1768.0
101108_200755_201599_201933_203085,130.3,312.0,80,25,77,54,301,7,11,74,57,262.0
101108_200755_201599_201933_2037,162.78,418.0,98,37,111,81,358,4,23,113,79,369.0
101108_200782_201569_201935_203991,444.77,1063.0,230,146,165,209,999,37,73,332,169,1002.0
101108_200782_201601_201935_203991,131.23,319.0,64,44,59,59,269,15,29,99,33,271.0
101108_200782_201935_203516_203991,211.83,439.0,113,51,60,100,454,23,42,203,91,476.0
101108_200782_201935_203991_2772,266.93,579.0,130,74,97,121,616,26,53,216,103,562.0
101108_201569_201583_203991_2772,102.98,236.0,60,34,14,60,246,14,15,77,29,218.0
101108_201583_201935_203991_2772,186.38,475.0,99,75,42,110,386,18,37,143,67,442.0
101109_101138_201578_203085_2037,133.53,290.0,69,32,56,52,301,9,21,129,58,304.0
101109_1718_201578_203085_2037,101.48,207.0,57,22,27,29,250,8,9,102,54,204.0
101109_201578_201933_203085_2037,100.87,220.0,60,22,34,47,233,14,13,80,46,219.0
101109_201578_202325_203085_2037,251.23,499.0,128,51,90,81,656,25,45,246,128,503.0
101109_202331_202335_203518_203924,129.72,242.0,50,29,55,41,312,10,27,127,64,298.0
101109_202335_203518_203924_203962,102.93,215.0,46,29,36,44,257,16,16,83,42,207.0
101112_202681_202684_202697_2544,104.43,256.0,56,40,24,61,230,12,10,52,37,237.0
101114_1626257_1627827_202083_203084,135.53,238.0,67,25,29,40,296,11,26,113,58,242.0
101114_1717_202083_203084_203552,123.22,282.0,57,47,27,74,264,7,12,88,48,279.0
101127_201584_202498_202683_204001,303.87,660.0,228,42,78,144,649,34,32,209,121,685.0
101127_201584_202683_203501_204001,382.85,877.0,266,81,102,201,859,48,55,259,123,810.0
101133_1626162_201975_203107_203118,159.43,308.0,80,31,55,74,377,9,19,144,88,336.0
101133_1626162_201975_203118_204025,165.22,354.0,103,24,76,90,400,9,24,145,102,374.0
101133_202322_202693_203078_203490,119.12,291.0,82,27,46,61,272,16,34,102,60,276.0
101139_101145_1626167_201952_202331,100.65,258.0,57,28,60,44,213,9,19,86,46,230.0
101139_1626153_1627751_1627783_1627832,339.45,790.0,205,100,80,209,772,52,62,287,164,666.0
101139_1626167_201152_201952_202331,443.58,992.0,274,96,156,231,953,45,81,326,184,925.0
101139_1626167_201952_202331_202730,103.13,227.0,63,20,41,58,216,11,20,79,43,229.0
101139_1627751_1627783_1627832_201942,100.63,270.0,75,24,48,52,248,10,17,68,42,235.0
101141_1627752_203101_203145_203471,351.53,725.0,210,73,86,179,780,38,54,305,122,776.0
101141_200771_201945_203496_203954,102.37,225.0,60,25,30,58,242,22,20,91,38,214.0
101141_203496_203917_203954_204456,114.53,243.0,65,29,26,70,260,11,9,104,44,206.0
101145_1626167_201152_201952_202331,602.05,1317.0,390,106,219,307,1286,93,118,491,237,1335.0
101145_1626167_201152_201952_203922,105.68,251.0,76,16,51,55,242,10,22,83,28,224.0
